ID;STAY1;STAY2;STAY;REC1;REC2;REC;MOT1;MOT2;MOT;HOL_IMP;HOL_IMP Comments;General Comments; ;FEEDBACK1;FEEDBACK2;FEEDBACK3;FEEDBACK4;FEEDBACK5;FEEDBACK;CLARITY1;CLARITY2;CLARITY3;CLARITY;ACCURACY1;ACCURACY2;ACCURACY3;ACCURACY;FAIR1;FAIR2;FAIR3;FAIR;SELF_AWARE1;SELF_AWARE2;SELF_AWARE3;SELF_AWARE;INTENT_USE1;INTENT_USE2;INTENT_USE3;INTENT_USE;IMPACT;ROLE_FIT;WORK_MEANING;TENSION;GOAL_FIT;EMPOWER;ACCOUNT;Age Bracket;Tenure;Dev/Non;Holacracy Wave;GENDER;LOCATION
79;4;4;4;5;4;4,5;4;5;4,5;4;There is greater clarity and visibility into the structure of the organization;Sometimes, what we say and what we do are at odds with each other. I know we aren't perfect, and necessarily can't be, but this is an area to work on.; ;2;2;3;4;3;2,8;3;3;3;3,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;3;4;5;4;3;5;2;3;2;1
80;4;2;3;4;4;4;4;4;4;4;;; ;3;4;4;4;4;3,8;4;4;3;3,67;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;3;4;3;5;4;4;2;5;2;3;2;1
81;5;5;5;5;5;5;5;5;5;3;I have not been here long enough to determine this. Holacracy does have some good values from what I have been a part of.;iQ is a great place to work. The people are great. The culture is even better! I hope we are able to keep sustaining this as the company grows.; ;2;2;3;4;4;3;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;2;4;3;3,00;5;5;5;5,00;5;4;4;4;4;4;4;2;3;1;2;2;3
82;3;2;2,5;4;2;3;4;4;4;2;I think Holacracy has the power to address many of the issues faced at iQmetrix. However, in my personal experience those who completely disregard Holacracy do not seem to face any consequence at all. The non-adopters aren't actually collaborating, they are just using the holacracy language to impose their will on others.;Negative team environments at iQmetrix seem to survive much longer than I would expect at any other company. Many sub-optimal or nearly failing projects are not addressed and are allowed to continue nearly failing instead of just failing and trying again. As a consequence a lot of team members are disengaged with their product, team and stakeholders on everyday work.; ;2;4;4;5;4;3,8;3;1;1;1,67;3;3;2;2,67;1;2;1;1,33;5;4;5;4,67;4;3;4;3,67;5;5;4;2;5;5;1;2;6;2;4;2;5
83;2;2;2;2;2;2;4;2;3;2;"Unfortunately the ""not my or my circle's accountability"" comes up far too often and acts as a blocker. Some people have taken holacracy to an extreme and provide no value and have become near useless by spending time redirecting people to others rather than simply helping out the person and keep things moving along.";iQmetrix does not stand out or apart from other companies. As it stands there is no significant reason for someone to choose iQmetrix over any other company. Particularly in Vancouver where iQmetrix has to compete against many other companies whose appearance on one's CV is far more valuable than having iQmetrix listed. With Ubisoft opening an office in Winnipeg, there is now a very interesting and fun option for developers to pursue.; ;1;4;5;5;3;3,6;1;1;1;1,00;1;1;1;1,00;1;1;1;1,00;5;5;5;5,00;4;4;5;4,33;4;4;3;5;2;2;3;4;5;2;4;2;5
84;3;2;2,5;5;4;4,5;4;2;3;3;Circles are a really nice to look at and organize people. Tacticals just feel like they cost me time though.;I would love to see a focus on User Experience, right now it feels like we're not making great looking/feeling experiences and there is not a focus on that. Winnipeg feels like it's bleeding talent lately.; ;2;4;4;4;2;3,2;4;4;4;4,00;4;4;2;3,33;3;3;3;3,00;2;4;4;3,33;4;4;5;4,33;4;4;2;3;2;3;2;2;4;2;4;2;2
85;4;4;4;5;5;5;4;5;4,5;4;;; ;5;5;3;4;3;4;4;5;4;4,33;4;4;4;4,00;4;4;4;4,00;3;5;4;4,00;4;5;5;4,67;5;5;5;3;5;5;5;2;5;1;1;2;1
86;4;2;3;4;4;4;3;4;3,5;2;;; ;4;4;4;2;2;3,2;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;5;4;3;4,00;4;4;4;4,00;5;4;3;4;4;3;4;3;6;2;3;2;1
87;3;2;2,5;3;4;3,5;4;4;4;3;It is still a work in progress.;; ;1;4;;4;2;2,75;1;1;1;1,00;1;3;3;2,33;3;1;3;2,33;3;4;4;3,67;4;1;3;2,67;4;4;4;2;4;4;3;3;7;1;2;1;1
88;2;2;2;3;2;2,5;2;2;2;1;I feel Holacracy has created stronger impenetrable silos that have made it even harder to work together across teams. My team builds a product that relies on another product in order for it to work properly, but that other department is now so separate and independent from my department that they may as well be on Mars.;Find a way to make it so different departments work together more efficiently.; ;1;4;4;4;5;3,6;2;2;1;1,67;4;4;2;3,33;1;3;2;2,00;3;4;3;3,33;4;4;4;4,00;4;2;2;4;2;1;1;3;5;2;4;2;5
89;4;2;3;5;4;4,5;4;5;4,5;5;;; ;2;4;5;5;5;4,2;4;4;4;4,00;5;4;3;4,00;3;3;3;3,00;4;5;5;4,67;5;5;5;5,00;5;4;4;3;4;4;4;2;5;2;4;1;5
90;5;4;4,5;5;5;5;5;4;4,5;3;I was not here before Holocracy, so I have nothing to compare it to. I do feel it works very well though!;I have grown immensely in my abilities here. I'm excited for all the possible opportunities I have in growing with this company.; ;5;5;5;4;5;4,8;5;4;5;4,67;4;4;5;4,33;4;4;4;4,00;4;5;4;4,33;4;5;5;4,67;5;4;4;5;5;4;4;2;3;1;3;2;1
92;2;3;2,5;4;3;3,5;2;3;2,5;2;;; ;1;4;4;4;4;3,4;4;4;4;4,00;4;4;3;3,67;4;4;4;4,00;2;2;2;2,00;4;4;4;4,00;4;4;2;4;4;3;2;3;5;2;1;2;2
93;4;3;3,5;4;4;4;4;4;4;2;"We are still a long way from solving our past issues with Holacracy.  The problems we had in the company weren't directly addressed by broad changes such as a Holocracy implementation.  Also the same people who were managers before are pretty much filling the lead link roles even though we're told that role isn't about being a manager. How do I tell a person who was assigning me work last year that ""thanks but I assign my own work now""? I don't feel Holocracy has directly impacted any outcomes.";Its great, but there are still issues.; ;4;5;5;4;4;4,4;4;4;4;4,00;4;5;4;4,33;5;5;4;4,67;4;4;3;3,67;5;2;4;3,67;5;5;5;3;4;4;4;2;6;2;4;2;5
94;4;2;3;5;4;4,5;4;5;4,5;4;;; ;5;4;4;4;4;4,2;5;5;5;5,00;5;5;5;5,00;5;5;5;5,00;5;4;5;4,67;5;5;5;5,00;5;5;4;5;4;3;3;2;5;1;1;1;2
95;4;4;4;4;3;3,5;4;4;4;2;Slowly but surely we are getting there. I think there are different areas or departments that have adopted Holacracy but there are still individuals who still want to do what they want. And it seems that these people are in leadership positions and who have been with the company for 6+ years.;They need to know that in order for this company to grow that sometimes you cannot keep doing what you have always been doing or are used to. You must get used to change and accept the new way of how things are moving forward. Be more engaging with others in your office. It seems some leaders are more introverted now or do not want to have anything to do with anyone for whatever reason I do not know.  This does not make others feel good.; ;4;2;4;2;4;3,2;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;3,67;4;4;4;4,00;4;4;4;4;4;4;2;4;5;1;2;1;3
96;2;1;1,5;4;4;4;1;2;1,5;4;;It is hard to know how to contribute more from where i actually am; ;5;4;4;5;5;4,6;5;5;4;4,67;4;3;4;3,67;2;2;1;1,67;5;5;5;5,00;4;4;3;3,67;5;2;2;4;4;2;2;4;7;1;2;2;1
97;4;4;4;4;4;4;5;4;4,5;3;I was hired after the adoption, and therefore have no point of reference. Seems to work though.;; ;4;2;4;3;4;3,4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;3;4;4;3,67;4;4;4;4,00;5;4;4;4;4;4;4;2;2;1;2;2;4
98;5;4;4,5;4;5;4,5;4;4;4;2;While I believe that iQ as a company has benefitted, smaller tight knit teams have not.;; ;2;4;2;2;4;2,8;4;4;2;3,33;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;5;5;4,67;5;5;5;5;5;5;4;4;4;1;5;2;4
99;4;4;4;4;4;4;4;5;4,5;3;;; ;2;5;4;5;5;4,2;4;4;4;4,00;4;4;5;4,33;4;4;4;4,00;4;5;4;4,33;4;4;4;4,00;4;3;4;4;4;4;2;2;6;1;3;1;1
100;5;4;4,5;5;5;5;4;4;4;4;;; ;3;3;3;4;4;3,4;4;4;3;3,67;4;4;4;4,00;3;3;4;3,33;3;4;4;3,67;4;4;4;4,00;4;4;4;4;4;4;5;2;5;1;3;2;1
101;3;2;2,5;4;4;4;3;3;3;4;Information is being passed more freely, but there needs to be more work done on having holacracy implemented consistently in all the teams..;; ;2;3;4;4;4;3,4;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;3;4;4;3,67;4;4;4;4,00;3;4;4;3;4;3;3;3;6;1;5;1;1
102;4;4;4;4;4;4;2;5;3,5;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;2;2;4;2,67;4;5;4;4,33;4;4;4;4,00;4;5;2;4;4;4;4;2;6;1;1;2;1
103;4;3;3,5;4;4;4;4;4;4;4;;; ;3;4;4;3;3;3,4;4;4;4;4,00;4;4;3;3,67;3;3;4;3,33;4;5;4;4,33;4;4;4;4,00;4;4;4;4;4;4;4;2;6;2;3;2;1
104;4;3;3,5;4;4;4;3;4;3,5;3;Holacracy hasn't delivered the clarity and autonomy I expected.  Roles and accountabilities were established early, they have not changed since we started the implementation, and they seem to be outdated and inaccurate now.  We're supposed to raise tensions around this, but it hasn't really come up.  There is nobody to blame but myself I suppose, but it just feels like yet another thing to do and think about when I'm busy enough already.;; ;3;4;4;4;3;3,6;4;4;3;3,67;4;4;4;4,00;4;3;4;3,67;3;4;3;3,33;3;4;4;3,67;4;3;3;3;4;3;4;3;6;2;5;2;1
105;2;2;2;4;3;3,5;4;2;3;3;;Teams are continuing to work in isolation and, as a result, there is continual overlap in work done. Different teams do the same work, tackle the same projects, come up with different solutions, and only realize when they clash. So much time has been wasted by teams doubling up unnecessarily on work.; ;2;4;4;4;4;3,6;3;3;3;3,00;3;3;2;2,67;3;3;3;3,00;4;4;3;3,67;4;4;4;4,00;4;4;3;4;4;4;2;2;5;2;4;1;2
106;1;1;1;2;4;3;4;4;4;1;"I applaud the company for trying new things. But there has not been any evaluation yet about whether holacracy is actually working for teams. For the teams that follow the Agile process, holacracy has been an additional burden because of the overlap (ie. tactical meeting) with the Agile meetings. Also, ""not my responsibility"" is often heard more. Luckily, there are still people who help each out when they can, but there are people who holacracy to escape responsibilities. It would be great to see the company do a full evaluation of holcracy and evaluate if it's actually useful or not. And if it isn't, how can it be improved or do we need to consider a different structure.";A lot of great people in the company!; ;5;4;4;4;4;4,2;4;4;4;4,00;4;4;4;4,00;2;2;1;1,67;4;4;4;4,00;4;4;4;4,00;4;4;4;3;1;4;4;2;4;2;4;1;5
107;4;4;4;4;4;4;4;4;4;4;;; ;4;3;5;5;4;4,2;5;4;4;4,33;4;4;4;4,00;4;4;4;4,00;4;4;5;4,33;4;4;4;4,00;4;4;4;4;4;4;4;2;6;1;3;1;1
108;4;4;4;4;4;4;4;4;4;3;;; ;3;3;4;5;5;4;4;4;4;4,00;4;4;5;4,33;5;5;5;5,00;5;5;5;5,00;5;4;5;4,67;4;4;4;5;4;4;3;3;5;1;2;2;3
109;3;4;3,5;4;4;4;4;3;3,5;4;;I have always found the culture and people at IQ to be amazing. It is a wonderful place to start your career and you feel like a part of a family here. However as you grow in the company and take on more responsibilities the wages do not grow enough to match. I feel this lack of competitive compensation has resulted in many senior and more talented people leaving the company for greener pastures. I hope to have many more years in this company but as time goes on I worry if I may need to find somewhere else to work to have a comfortable living wage.; ;5;4;4;4;4;4,2;4;5;5;4,67;4;4;4;4,00;3;4;3;3,33;4;5;4;4,33;4;4;4;4,00;4;4;4;4;4;4;5;2;5;2;3;2;2
110;4;2;3;4;4;4;4;2;3;4;;When I started at iQmetrix it was a very confusing work environment and very technically orientated.  As a Business driven person I was not feeling a strong fit.  In the last year there has been a shift towards more of a business focus and I now feel I have a purpose and stronger fit here.  There is still a gap in the support that is provided for non technical people which I hope improves.; ;4;2;4;4;4;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;2;2;4;4;4;3;4;2;4;1;2
111;4;4;4;4;4;4;4;4;4;4;;; ;4;3;4;4;4;3,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;4;1;3;2;1
112;4;2;3;4;4;4;4;5;4,5;1;In general things seem to be as chaotic as ever, processes seem slower and driving change is harder and more political as teams all follow their own agendas.  We seem much less united by common goals and purposes.  We need more oversight because individual teams seem too busy to coordinate anything beyond their own strategies.;It feels to me like there are strong strategic directions we should be heading toward and improvements that should be done.  I know my own project should be managed better but there does not seem to be time to focus on that when there is always a fire or something more important to get done everywhere.  I know we don't always follow best practices and I wish we had time to.  Things that cause massive frustration and overhead are usually external to our team and usually involve trying to coax work out of another team or individual.  As we get larger we are less and less in control of everything within our projects and it would be very helpful to have someone above teams driving directives and setting priorities.; ;2;5;4;4;4;3,8;3;3;3;3,00;3;3;2;2,67;2;2;2;2,00;4;5;4;4,33;5;4;4;4,33;5;4;4;4;5;3;2;3;7;1;5;2;5
113;5;4;4,5;4;4;4;4;4;4;4;Yes and no -- I feel as though Holocracy has improved our processes from before - it's been great -  but I also feel as though more needs to be done to fully have the staff understand Holocracy to use it to its full effectiveness. Rather than having a bunch of meetings that people don't feel are useful, we want the tactical meetings to create a strong positive influence in the work we do.;It's been great.; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;2;5;1;1;1;5
114;2;1;1,5;4;2;3;2;1;1,5;1;;; ;2;4;4;4;4;3,6;4;4;3;3,67;4;4;3;3,67;2;2;2;2,00;4;4;3;3,67;4;4;4;4,00;1;1;1;4;4;2;2;2;5;2;3;2;1
115;5;5;5;5;5;5;5;5;5;5;Everything is so much more clear than at this time last year.  The implementation process has been bumpy, and I disagree with a lot of the choices that were made, but we've come out way ahead overall and I'm excited about the current trajectory.;"I love my job, I'm excited to come into work every day, and I feel like the work I'm doing matters.  Holacracy has amplified that feeling 10-fold, because it gives me the tools to pick the work I think is most valuable, and the permission to feel guilt-free about the work that is lower priority and not getting done and the safety to be transparent about it.  My biggest issue currently is that many Lead Links have only received 1 hour of training, however they are expected to be the ""face"" of holacracy to their circles, and many of them just want to get the work of their circle done, and aren't really interested in working on team development.  I wish that they knew that they had the option to hand off the role of working on the circle to somebody who might like it better, so that they could focus on the work of the circle instead."; ;4;5;5;4;5;4,6;4;5;5;4,67;5;5;5;5,00;5;5;5;5,00;4;5;5;4,67;5;5;5;5,00;5;5;5;5;5;5;1;2;5;2;4;2;2
116;4;4;4;4;4;4;4;4;4;4;Holacracy makes our roles and accountabilities clearer. I find it easier to clearly ask for work when I'm not busy.;; ;2;4;4;4;4;3,6;2;2;2;2,00;3;3;3;3,00;4;4;4;4,00;4;4;3;3,67;4;4;4;4,00;4;4;4;4;4;4;4;3;6;2;4;2;5
117;5;4;4,5;4;4;4;5;4;4,5;3;I was not with iQ prior to Holacracy but compared to my last job I like the system.;; ;4;4;5;4;5;4,4;5;5;4;4,67;5;5;4;4,67;4;4;5;4,33;5;5;5;5,00;5;5;5;5,00;4;4;4;3;4;5;4;3;3;1;2;1;3
118;2;3;2,5;5;5;5;3;1;2;3;I see some areas where we have improvement and some areas where it's been confusing and holacracy affected the speed we move forward at. I think once we are through the implementation phase it will be better, but I wouldn't say we have improved yet.;It's interesting... holocracy is forcing me to have to collaborate more as it specifies who should actually do something (and as such, that I should not be the one to do it), in the past, if there was an obstacle I would just do it myself, now that doesn't go over so well. I would find that I would end up with really engaged and talented individuals all with a passion for a project - because the roles just grew out of the need in a particular project, so it was self-organizing. Now if there is a project/initiative - you have to try to build the vision around the goal, because people are just contributing to the goal because it's part of their accountabilities, not because they care about the goal.  I'm finding I have to be more of a cheerleader and constantly pitch the vision to get people excited/driven/motivated to move forward - whereas before the teams I worked with would just want to get it done.  I feel like holacracy is making it so we don't rally around a goal or a common cause, but rather just pluck away at the things we are accountable for.  I miss working with teams that just showed up with a drive to get the thing done... it felt more exciting and meaningful. On the flip side, I find myself having to consciously make efforts to get people excited and to care about the work in a meaningful way - it's forcing me to practice my leadership skills in a covert way. Since I don't really see myself as being in a leadership role at iQmetrix, it's kind of interesting to practice the skills. Keeps me entertained anyways.; ;2;4;3;2;4;3;4;3;2;3,00;4;3;3;3,33;2;1;1;1,33;5;5;2;4,00;5;4;3;4,00;1;4;4;4;3;1;3;3;6;2;3;1;2
119;2;2;2;4;3;3,5;4;5;4,5;1;;; ;4;5;4;4;5;4,4;1;3;1;1,67;1;1;2;1,33;1;1;1;1,00;2;4;5;3,67;4;5;5;4,67;5;3;5;3;5;1;2;2;4;2;3;2;3
120;3;2;2,5;3;2;2,5;3;2;2,5;2;;; ;4;3;4;4;4;3,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;3,67;3;4;3;3,33;4;2;3;4;4;4;2;3;7;1;3;2;1
121;2;2;2;4;4;4;4;4;4;4;I think it has improved overall, I do think there are a number of people using holacracy as a method for not doing things, but that's not because of holacracy.;"I think we should try and do less because at the moment we are trying to do to much. I am really excited about the company investing in the core product and think the ""new"" organizational structure is a great idea."; ;1;4;4;2;4;3;3;3;3;3,00;3;3;3;3,00;1;3;2;2,00;4;4;3;3,67;4;3;4;3,67;3;3;2;2;4;4;2;2;5;2;4;2;5
122;3;2;2,5;4;4;4;4;4;4;4;I still don't notice a large day-to-day change outside of tacticals.;I worry about current health and stability. I am aware of a number of teams that are under-resourced and propped up by the extraordinary efforts often of just one person. This is a recipe for a number of localized crises.; ;2;4;4;4;4;3,6;3;3;3;3,00;2;2;2;2,00;4;4;4;4,00;4;5;5;4,67;5;4;4;4,33;5;2;4;4;4;4;4;2;6;1;4;2;1
123;3;2;2,5;4;2;3;2;5;3,5;2;;"Slow down. Stop trying to run when you don't know how to walk; especially if running has failed you already. Think objectively and realize that maybe running first was a bad idea, and that learning to walk was probably a good idea."; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;5;4;4,33;4;4;4;4,00;2;5;4;4;4;4;1;2;4;2;3;2;1
124;4;4;4;5;4;4,5;4;5;4,5;4;;; ;3;5;4;3;4;3,8;3;4;3;3,33;3;3;4;3,33;4;4;4;4,00;4;5;5;4,67;4;4;4;4,00;5;4;5;4;4;4;4;1;3;2;3;2;1
125;5;3;4;5;5;5;5;4;4,5;5;I feel like the more explicit our accountabilities the better we become overall. I think we are getter better at shedding light on unsung heroes who do far more than they have previously been given credit for. It's not perfect yet, but we're going in the right direction.;As a developer role the contribution evaluations between intermediate and senior need to be addressed. My lead link has been in the process of trying to bump me up in level, but the contribution guidelines are skewed in that you need to be influencing the entirety of the company and/or be a lead yourself. The contribution guidelines need room for technically strong, development-focused roles that don't necessarily require revolutionary output. Each circle needs its own experts too and they need to be compensated for that appropriately; ;5;5;3;4;5;4,4;5;5;5;5,00;5;5;5;5,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;5;5;5;5;5;5;5;2;6;2;3;2;2
126;2;2;2;4;2;3;2;2;2;3;;; ;2;4;4;4;4;3,6;3;3;2;2,67;3;3;2;2,67;2;2;2;2,00;2;4;3;3,00;3;4;4;3,67;5;4;4;4;4;4;4;2;6;1;4;1;5
127;4;4;4;4;2;3;3;4;3,5;4;Overall agree that holacracy has been a benefit but the adoption and how it is followed is inconsistent between teams.;; ;2;3;3;4;4;3,2;3;3;3;3,00;3;3;3;3,00;3;3;3;3,00;4;4;3;3,67;4;4;4;4,00;4;2;2;3;4;2;2;3;4;2;1;1;2
128;4;3;3,5;3;4;3,5;4;4;4;4;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;6;2;5;2;1
129;5;5;5;4;4;4;4;4;4;4;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;3;4;4;3,67;4;5;4;4;4;4;4;4;7;1;3;2;1
130;4;4;4;4;4;4;5;4;4,5;4;;Overall I love working at iQ, but feel that we need better feedback and clearer structure on how to personally grow within the company whether that's in our own role or looking to transition to others and use our skillsets most effectively for the good of the company.; ;2;2;3;4;3;2,8;2;2;2;2,00;3;3;3;3,00;4;3;4;3,67;5;5;5;5,00;4;4;4;4,00;4;2;2;4;4;5;4;2;4;1;2;2;3
131;2;1;1,5;4;4;4;2;2;2;1;Holacracy as a tool has not improved the company.  The new structure isn't giving us better direction, better leadership, or better communication.;I see a significant lack of transparency and integrity around the decisions made here.  Ownership of mistakes is basically non-existent at the leadership level, we just keep doubling down and crossing our fingers that maybe someday it will work out.; ;1;2;4;2;4;2,6;2;2;2;2,00;2;2;3;2,33;2;2;2;2,00;4;4;1;3,00;4;3;3;3,33;4;5;2;2;4;4;2;2;5;2;1;2;2
132;4;3;3,5;4;4;4;4;4;4;4;Holacracy is a double edged sword. People rely on the Holacracy rules to strictly and rigidly define their role, which is detrimental to flexibility. However, doing it this way has created transparency and a set of accountabilities for people to focus on and grow into.;"Expect Less; Experience More"; ;4;5;4;5;5;4,6;4;4;4;4,00;4;3;5;4,00;3;3;3;3,00;4;4;4;4,00;4;4;5;4,33;5;4;5;4;4;5;4;1;4;1;5;2;3
133;5;5;5;4;4;4;4;4;4;3;;; ;4;4;4;3;3;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;5;4;4;4;5;4;4;3;5;2;4;2;5
134;4;4;4;4;4;4;4;4;4;3;;; ;4;4;4;3;3;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;8;2;5;2;5
135;4;4;4;4;4;4;4;4;4;3;;; ;4;4;3;4;4;3,8;3;4;4;3,67;3;4;3;3,33;5;5;5;5,00;5;5;3;4,33;4;4;4;4,00;4;3;3;3;4;3;3;2;5;2;4;2;2
136;4;2;3;4;3;3,5;2;2;2;4;;We as a company still carry so much dead weight. There are so many people here just sit on their ass and browse the internet all day everyday. There are also many incompetent people in mid-management roles just because they've been here forever, and way over paid. They have not updated their skills, industry knowledge or even work ethic for years, for some of the smaller teams they are detrimental for team growth, and the personal career growth for others.; ;2;4;4;5;5;4;4;2;2;2,67;2;2;2;2,00;1;1;1;1,00;3;4;2;3,00;3;4;4;3,67;4;3;2;4;4;1;1;3;6;1;5;1;1
137;1;1;1;4;4;4;4;3;3,5;3;;I need an increase in pay; ;4;3;4;3;4;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;3;4;4;3,67;4;4;4;4,00;4;3;4;3;4;4;4;2;2;2;4;1;1
138;4;3;3,5;3;4;3,5;4;2;3;2;I cannot see any improvement.;; ;2;4;4;4;4;3,6;4;4;2;3,33;3;3;4;3,33;2;3;2;2,33;5;5;3;4,33;4;4;3;3,67;4;4;4;5;3;3;3;2;4;2;3;2;1
139;4;4;4;4;4;4;3;3;3;4;"I feel overall we have improved thanks to holacracy, but I feel like for most people the feeling of empowerment and autonomy holacracy promised has not been realized. I frequently hear from others, including lead links, that that don't feel like they can say ""no"" and that projects and deadlines are thrust upon them and they and their teams have to work extra hard and sometimes even overtime to meet deadlines that they never had input in themselves.";When I first started at iQmetrix people only left because they were following a spouse to a new city or occasionally to pursue a unique employment opportunity elsewhere. Within the last year that has changed. People have been leaving because there are things they are dissatisfied with within iQmetrix. Hopefully those reasons have been clear in their exit surveys and we're acting on them, but there are serious resourcing issues within iQmetrix already and losing valuable, highly skilled and experienced staff only exacerbates those issues. There are already teams that have been chronically understaffed and not allowed to hire the people they need. The root causes of people leaving need to be addressed immediately and the other resourcing shortfalls need to be resolved ASAP if we're to begin making positive progress and restore confidence with all of our staff.; ;2;2;4;2;4;2,8;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;3;4;3;3,33;4;4;4;4,00;4;3;4;4;4;3;3;2;5;2;3;2;2
140;4;5;4,5;4;5;4,5;4;4;4;3;;; ;4;4;3;5;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;3;4;5;4,00;5;4;4;4,33;4;4;3;4;5;5;5;2;6;2;5;2;1
141;5;5;5;5;5;5;4;4;4;3;I wasn't here before Holocracy so I don't have means to know if the company was improved or not after the adoption. It seems to work OK though.;The company is amazing but sometimes I feel a lack of support in better understanding the boundaries between my work and others' work.; ;4;3;4;4;4;3,8;5;4;4;4,33;4;4;4;4,00;3;3;4;3,33;5;5;5;5,00;5;5;5;5,00;4;3;4;4;4;4;5;3;1;2;3;2;1
142;2;2;2;4;2;3;4;4;4;2;I disagree that -Holacracy- has improved our company. Instead, I think the adoption process simply brought to light structural issues and implicit responsibilities that people had. The kind of introspection we needed to do (and still need to do) is more to do with figuring out our departmental problems ourselves so we that we have the information to organize ourselves into Holacracy. Holacractic practices haven't really had an impact, in my opinion.;I love the people here, and I've really enjoyed working and learning with them. However, I'm worried about the long term-health of our product and iQmetrix as a company.; ;3;2;3;2;4;2,8;5;4;4;4,33;4;4;4;4,00;4;3;3;3,33;3;4;4;3,67;4;4;4;4,00;4;3;2;2;4;3;2;2;5;2;3;2;1
143;4;2;3;4;4;4;4;4;4;3;We traded in some of our morale for (potentially) improved efficiency.  The changeover was helpful as a reminder that I work for a large, profit-driven company.;Transparency is super important! If you have to make changes that you think people won't like, own up to it. If you only tout transparency when things are going well, you breed a culture of distrust.; ;4;4;4;4;4;4;4;4;4;4,00;4;4;3;3,67;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;3;4;4;4;2;5;2;4;2;2
144;5;5;5;5;4;4,5;4;5;4,5;3;;I love working here. I don't feel like I am compensated well enough though. I feel like no matter how hard I work or how much my influence/responsibilities increase over the years,  the highest raise I can expect is 4% which barely passes cost of living increases each year.; ;4;4;4;4;3;3,8;4;4;4;4,00;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;5;5;4;4,67;5;5;4;4;4;4;3;4;7;2;3;1;2
145;2;2;2;4;2;3;2;2;2;3;I don't think my circle embraced holocracy as much as the rest of the company, so I don't see it playing a significant role. I also don't think we adhere to it properly, my account abilities have changed three times this year alone and rhis has never been reflected in Glassfrog. It's hard to take this seriously or see the benefit when my lead link does not follow the process.;Being heavily micro-managed has alienated me from feeling autonomy or ownership over my work. I still love working here and see great potential in the team, but without ability to make my own decisions and grow or fail by taking risks, I don't see a lot of sustainability here, which sucks because I think I do great work, always get positive feedback, and have really good ideas to contribute. I love the team and believe we still attract great talent. The issue is retaining that talent on this team.; ;2;3;3;3;4;3;2;2;2;2,00;3;4;4;3,67;3;3;3;3,00;4;4;3;3,67;5;5;4;4,67;4;4;2;4;4;2;3;2;4;1;1;1;2
146;4;4;4;4;4;4;4;4;4;4;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4;4;4;4;3;6;2;4;2;1
147;2;2;2;3;3;3;3;3;3;1;;; ;2;2;3;1;1;1,8;4;4;2;3,33;4;4;3;3,67;2;3;3;2,67;2;4;3;3,00;4;4;2;3,33;5;4;4;2;4;3;4;2;6;2;3;2;1
148;5;5;5;5;5;5;4;5;4,5;3;;I appreciate the level of trust given to us to let us work without the micromanagement.; ;5;4;4;5;5;4,6;5;5;5;5,00;4;4;5;4,33;5;4;4;4,33;4;5;5;4,67;5;5;5;5,00;5;5;4;4;5;4;4;3;4;2;4;2;2
149;4;4;4;4;4;4;4;4;4;3;;; ;4;3;4;4;3;3,6;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;5;4;4,33;4;4;4;4,00;5;4;3;3;4;3;4;2;6;2;3;1;2
